,Professor Name,Professor Prefix,Key Expertise,Languages,Title,Modules,department
69, Shengxing Zhang,,"macroeconomics, financial, monetary, information economics",English,Assistant Professor of Economics ,"EC301: Advanced Economic Analysis, EC400: Introductory Course in Mathematics and Statistics, EC539: Macroeconomics for Research StudentsWebpagesPersonal  |  CFM  |  Systemic Risk Centre",economics
0,Dr Johan Ahlback,,field experiments; behavioural & distributive politics; electoral integrity,"English, Finnish, Swedish",Dr,,methodology
1,Dr Audrey Alejandro,,"discourse, knowledge, international political sociology, reflexivity","English, French, Portuguese, Spanish",Dr,,methodology
2,Dr Eileen Alexander,,thematic analysis; reflexivity; social security and welfare reform,"English, German",Dr,,methodology
3,Professor Kenneth Benoit,,"comparative party competition, european parliament, electoral systems",English,Professor,,methodology
4,Dr Patrick Kwasi Brobbey,,"electoral governance/conflict, opinion formation, kenyan/ghanaian politics","English, Twi",Dr,,methodology
5,Dr Flora Cornish,,community resilience; health activism; participation; knowledge exchange,English,Dr,,methodology
6,Dr Daniel De Kadt,,"causal inference, behaviour, political economy",English,Dr,,methodology
7,Dr Ivan Deschenaux,,"ethnography, social cognition, psychological essentialism, caste, nepal","English, French, German, Nepali",Dr,,methodology
8,Dr Michael Ganslmeier,,political behaviour; climate change; causal inference; machine learning,"English, German",Dr,,methodology
9,Professor George Gaskell,,"behavioural science, science in society",English,Professor,,methodology
10,Dr Friedrich Geiecke,,"macroeconomics, innovation, machine learning, natural language processing","English, German",Dr,,methodology
11,Dr Patrick Gildersleve,,"wikis, news media, complex and social networks, collective attention",English,Dr,,methodology
12,Dr Isaac Haruna Ziaba,,comparative method; thematic analysis; africa; mining; electoral processes,English,Dr,,methodology
13,Professor Jonathan Jackson,,criminology; survey methods; psychology and law,English,Professor,,methodology
14,Dr Ellie Knott,,"identity, citizenship, post-soviet politics, qualitative research","English, Russian",Dr,,methodology
15,Professor Jouni Kuha,,statistics for the social sciences,"English, Finnish",Professor,,methodology
16,Dr Anne-Laure Mahe,,"comparative politics, authoritarianism, development, african studies","English, French",Dr,,methodology
17,Dr Blake Miller,,"computational social science, text analysis, social media","English, Mandarin",Dr,,methodology
18,Dr Eleanor Power,,"ethnography, social network analysis, india, signalling theory, religion","English, Tamil",Dr,,methodology
19,Dr Aliya Rao,,"work, gender, family, qualitative research methods","English, French, Hindi",Dr,,methodology
20,Dr Thomas Robinson,,voter behaviour; money in politics; machine learning; neural networks,English,Dr,,methodology
21,Dr Ruxandra Serban,,"legislative studies, comparative politics, uk politics","English, French, Romanian",Dr,,methodology
22,Dr Alexander Stoffel,,historical sociology; international relations theory; discourse theory ++,"English, German",Dr,,methodology
23,Professor Patrick Sturgis,,"research design, survey methodology, statistical methods.","English, French",Professor,,methodology
24,Dr Chana Teeger,,"inequality, qualitative research methods, south africa",English,Dr,,methodology
25,Dr Milena Tsvetkova,,"computational social science, online experiments, network analysis",English,Dr,,methodology
0,Dr Per  Ahblom,Dr,"accounting & finance social studies, capital markets, financial reporting","English, Swedish",Assistant Professor of Accounting,"AC200 Accounting Theory and Practice (Current students click here for course information), AC424 Long Essay Tutor",accounting
1, Alnoor  Bhimani,Professor,"accounting, management accounting, tech entrepreneurship",English,Professor of Management Accounting,"AC490 Management Accounting, Decisions and ControlCurrent students click here for course information",accounting
2,Dr Jose Carabias Palmei,Dr,"accounting, financial statements analysis, asset pricing",English,Assistant Professor of Accounting,"AC330 Financial Accounting, Analysis and Valuation Current students click here for course information, AC550 Quantitative Methods for Accounting and Finance Current students click here for course information",accounting
3,Dr Stefano  Cascin,Dr,"disclosure regulation, business groups, credit markets","English, Italian",Associate Professor of Accounting,"AC332 Financial Statement, Analysis and Valuation Current students click here for course information",accounting
4,Dr Maria Correia,Dr,"credit markets, default prediction, business groups, corporate governance",English,Associate Professor of Accounting,AC416 Topics in Financial Reporting,accounting
5,Dr Pascal Frantz,Dr,"corporate finance, mergers & acquisitions, private equity, venture capital","English, French",Lecturer in Accounting and Finance,AC417 Corporate Financial Disclosure and Investor RelationsCurrent students click here for course information,accounting
6,Dr Saipriya Kamath,Dr,"accounting, audit, regulation, innovation, risk disclosures",English,Assistant Professor of Accounting,"AC100 Elements of Accounting and Finance Current students click here for course information, AC102 Elements of Financial Accounting Current students click here for course information , AC104 Elements of Accounting, Financial Institutions and Financial Management Current students click here for course information ",accounting
7,Dr Gulnaz  Khamidullina,Dr,"corporate reporting, responsible investment, esg reporting","English, Russian",Assistant Professorial Lecturer ,"AC102 Elements of Financial Accounting, AC103 Elements of Management Accounting, Financial Management and Financial Institutions",accounting
8,Dr Jeroen  Koenraadt,Dr,"disclosure regulation, financial intermediaries, retail investors","Dutch, English",Assistant Professor of Accounting,AC331 Contemporary Issues in Financial AccountingCurrent students click here for course information,accounting
9,Dr Ken L,Dr,valuation methodologies,English,Associate Professorial Lecturer – MSc Programme Director,,accounting
10,Dr Xi  Li,Dr,"international accounting, financial reporting, capital market, csr",English,Associate Professor of Accounting,AC444 Valuation and Security AnalysisCurrent students click here for course information ,accounting
11,Dr Pik Liew,Dr,"accounting, managerial accounting, auditing",English,Associate Professorial Lecturer – BSc Programme Director,"AC100 Elements of Accounting and FinanceCurrent students click here for course information, AC211 Managerial AccountingCurrent students click here for course information",accounting
12,Dr Nadia  Matring,Dr,"financial accounting history, economic theory, risk-management processes","English, French",Assistant Professor of Accounting,"AC340 Auditing, Governance and Risk ManagementCurrent students click here for course information",accounting
13,Dr Andrea  Mennicken,Dr,"global accounting, audit regulation, standardisation","English, German","Associate Professor of Accounting, Co-Director of CARR","AC424 Accountability, Organisations and InstitutionsCurrent students click here for more information, AC470 Accounting in the Global EconomyCurrent students click here for course information, AC500 Accounting, Organisations and InstitutionsCurrent students click here for more information, AC502 Foundations of Accounting, Organizations and InstitutionsCurrent students click here for more information",accounting
14, Peter  Mill,Professor,,,Professor of Management Accounting,"AC424 Accounting, Organisations and InstitutionsCurrent students click herefor course information, AC500 Accounting, Organisations and InstitutionsCurrent students click here for more information, AC502 Foundations of Accounting, Organizations and InstitutionsCurrent students click here for more information, MG414 Foundations of Public Management and GovernanceCurrent students click here for course information ",accounting
15,Dr Julia  Morley,Dr,"social impact measurement, financial reporting regulation",English,Assistant Professor of Accounting,"AC342 Accounting, Corporate Responsibility and SustainabilityCurrent students click here for course information",accounting
16, Alexander Nezlobin,Professor,"equity valuation, managerial performance measurement, disclosure","English, Russian",Professor of Accounting,,accounting
17,Dr Jacob  Ott ,Dr,"accounting, financial institutions, reporting, municipal finance",English,Assistant Professor of Accounting,AC100 Elements of Accounting and Finance,accounting
18,Dr Tommaso Palerm,Dr,"risk regulation, performance management processes, risk culture",English,Assistant Professor of Accounting,"AC412 Accountability, Organisations and Risk ManagementCurrent students click here for course information, AC312 Performance Measurement, Strategy, and UncertaintyCurrent students click here for course information",accounting
19, Michael  Pow,Professor,"accounting, risk management, valuation processes in organizations, auditing",English,Professor of Accounting,"AC412 Accountability, Organisations and Risk ManagementCurrent students click here for more information, AC424 Accountability, Organisations and InstitutionsCurrent students click here for more information, AC500 Accounting, Organisations and InstitutionsCurrent students click here for more information, LL440 Corporate Accountability: Topics in Legal and Accounting RegulationsCurrent students click here for more information",accounting
20,Dr Aneesh Raghunandan,Dr,"corporate misconduct, corporate social responsibility, financial reporting",English,Assistant Professor of Accounting,AC416 Topics in Financial ReportingCurrent students click here for course information,accounting
21,Dr Alexandra Sch,Dr,"financial misconduct, regulation, corporate governance, financial reporting",English,Assistant Professor of Accounting,"AC412 - Accountability, Organisations and Risk Management, AC470 - Accounting in the Global Economy",accounting
